,ligand,receptor,pathway,ligand_annotation,TF
Spp1|COMPLEX:Itgav_Itgb6,Spp1,COMPLEX:Itgav_Itgb6,SPP1,Secreted,"Smad3, Nfkb1, Sp1, Runx3, Rxra, Ar, Esr1, Stat1, Fos, Stat3, Rela, Gtf2i, Stat5a, Hif1a, Stat5b, Pparg, Jun"
Spp1|Cd44,Spp1,Cd44,SPP1,Secreted,"Nfatc1, Nfkb1, Rela, Fos, Nfatc3, Nfatc2, Jun"
Spp1|Itgb5,Spp1,Itgb5,SPP1,Secreted,"Sp1, Rxra, Ar, Esr1, Stat1, Fos, Stat3, Gtf2i, Stat5a, Stat5b, Pparg, Jun"
Spp1|S1pr1,Spp1,S1pr1,SPP1,Secreted,"Stat3, Pparg, Smad3, Rxra, Ar, Stat1, Stat5b, Gtf2i, Jun, Esr1, Fos, Stat5a"
Spx|Galr2,Spx,Galr2,SPX,Secreted,"Stat3, Pparg, Rxra, Ar, Stat1, Stat5b, Gtf2i, Jun, Esr1, Fos, Stat5a"
Spx|Galr3,Spx,Galr3,SPX,Secreted,"Stat3, Pparg, Smad3, Rxra, Ar, Stat1, Stat5b, Gtf2i, Jun, Esr1, Fos, Stat5a"
Srgn|Cd44,Srgn,Cd44,SRGN,Secreted,"Nfatc1, Nfkb1, Rela, Fos, Nfatc3, Nfatc2, Jun"
Tac1|Mrgpra6,Tac1,Mrgpra6,TAC,Secreted,"Stat3, Pparg, Smad3, Rxra, Ar, Stat1, Stat5b, Gtf2i, Jun, Esr1, Fos, Stat5a, Myc"
Tac4|Tacr2,Tac4,Tacr2,TAC,Secreted,"Stat3, Pparg, Rxra, Ar, Stat1, Stat5b, Gtf2i, Jun, Esr1, Fos, Stat5a"
Tac2|Tacr2,Tac2,Tacr2,TAC,Secreted,"Stat3, Pparg, Rxra, Ar, Stat1, Stat5b, Gtf2i, Jun, Esr1, Fos, Stat5a"
Tac1|Tacr1,Tac1,Tacr1,TAC,Secreted,"Stat3, Pparg, Smad3, Rxra, Ar, Stat1, Stat5b, Gtf2i, Jun, Esr1, Fos, Stat5a, Myc"
Tac4|Tacr1,Tac4,Tacr1,TAC,Secreted,"Stat3, Pparg, Smad3, Rxra, Ar, Stat1, Stat5b, Gtf2i, Jun, Esr1, Fos, Stat5a, Myc"
Tac1|Tacr2,Tac1,Tacr2,TAC,Secreted,"Stat3, Pparg, Rxra, Ar, Stat1, Stat5b, Gtf2i, Jun, Esr1, Fos, Stat5a"
Tac2|Tacr3,Tac2,Tacr3,TAC,Secreted,"Stat3, Pparg, Smad3, Rxra, Ar, Stat1, Stat5b, Gtf2i, Jun, Esr1, Fos, Stat5a, Myc"
Tdgf1|Gpc1,Tdgf1,Gpc1,TDGF1,unSecreted,"Nfatc1, Ar, Esr1, Nfatc3, Fos, Nfatc2, Creb1, Hif1a"
Tdgf1|Acvr1b,Tdgf1,Acvr1b,TDGF1,unSecreted,"Tcf7l2, E2f5, Foxo1, Smad2, Jun, Mef2a, Sp1, E2f4, Esr1, Nanog, Mef2c, Junb, Smad3, Tfdp1, Smad1, Smad4, Lef1, Max, Gata3, Creb1"
Tdgf1|Acvr1c,Tdgf1,Acvr1c,TDGF1,unSecreted,"Tcf7l2, E2f5, Foxo1, Smad2, Jun, Mef2a, Sp1, E2f4, Esr1, Nanog, Mef2c, Junb, Smad3, Tfdp1, Smad1, Smad4, Lef1, Max, Gata3, Creb1"
Tnc|Egfr,Tnc,Egfr,TENASCIN,Secreted,"Nr4a1, Foxo3, Brca1, Tcf7l2, Trp73, Thra, Irf1, Atf6b, Stat3, Erf, Dnmt1, Foxo1, Hsf1, Runx3, Ep300, Traf6, Abl1, Hif1a, Trp53, Rara, Creb3l2, Pparg, Smad3, Nfkbib, Atf2, Stat4, Hic1, Creb1, Mdm2, Irf3, Med1, Elk1, Crebbp, Rxra, Ar, Stat1, Dbp, Mitf, Nfkb2, Stat5b, Tcf7, Rbl2, Rora, Ikbkb, Lef1, Foxo6, Nfatc2, Arnt, Creb5, Prdm1, Cebpb, Tcf7l1, Ets2, Spi1, Ncoa3, Sp1, Xbp1, Junb, Tfcp2, Atf4, Irf9, Ctnnb1, Egr1, Stat6, Nfatc1, Nfkbia, Runx2, Gata3, Pgr, Esr2, Creb3l1, Creb3l4, Srf, Jun, Foxo4, Stat2, Esr1, Rela, Fos, Stat5a, Creb3l3, Ets1, Klf4, Nfkb1, Usf1, Nfatc3, Myc, E2f1, Creb3, Myb, Thrb"
Tnc|Itgav,Tnc,Itgav,TENASCIN,Secreted,"Nfkb1, Runx3, Ar, Esr1, Rela, Fos, Hif1a"
Tnc|Itga5,Tnc,Itga5,TENASCIN,Secreted,"Stat3, Fos, Sp1, Jun"
Tnc|Ptprb,Tnc,Ptprb,TENASCIN,Secreted,"Gabpa, Nfatc4, Cebpb, Srebf1, Jund, Elk1, Maz, Jun, Gata1, Sp1, Elk4, Sp3, Esr1, Fos, Stat5a, Hif1a, Irx2, Ets1, Srebf2, Trp53, Twist1, Gata4, Myc, E2f1, Atf2, Elk3, Runx2, Ppara, Gtf2i, Rarg"
Tnc|Ptprz1,Tnc,Ptprz1,TENASCIN,Secreted,
Tnc|Cntn1,Tnc,Cntn1,TENASCIN,Secreted,"Pax8, Sox2, Hes5, Rbpj, Smad1, Lef1, Hes1, Hif1a, Mef2c"
Tnc|Itga7,Tnc,Itga7,TENASCIN,Secreted,"Stat3, Fos, Sp1, Jun"
Tnc|COMPLEX:Itga8_Itgb1,Tnc,COMPLEX:Itga8_Itgb1,TENASCIN,Secreted,"Nr4a1, Pax8, Nrf1, Thra, Nfatc4, Sp7, Creb5, Esr2, Creb3l1, Atf6b, Stat3, Etv1, Pou5f1, Srf, Gli3, Dnmt1, Tfap2a, Nr5a1, Creb3l4, Jun, Hsf1, Gata1, Sp1, Mlxipl, Rxra, Stat2, Ar, Esr1, Stat1, Rela, Fos, Stat5a, Etv5, Atf1, Ybx1, Trp53, Nfkb1, Nkx3-1, Atf4, Nr1h4, Twist1, Gli2, Nfe2l2, Pdx1, Rara, Stat5b, Dlx5, Creb3l2, Pparg, Gli1, Atf2, Creb3, Foxa2, Sox9, Runx2, Ppara, Gtf2i, Pbx1, Creb1"
Tnr|COMPLEX:Itga8_Itgb1,Tnr,COMPLEX:Itga8_Itgb1,TENASCIN,Secreted,"Nr4a1, Pax8, Nrf1, Thra, Nfatc4, Sp7, Creb5, Esr2, Creb3l1, Atf6b, Stat3, Etv1, Pou5f1, Srf, Gli3, Dnmt1, Tfap2a, Nr5a1, Creb3l4, Jun, Hsf1, Gata1, Sp1, Mlxipl, Rxra, Stat2, Ar, Esr1, Stat1, Rela, Fos, Stat5a, Etv5, Atf1, Ybx1, Trp53, Nfkb1, Nkx3-1, Atf4, Nr1h4, Twist1, Gli2, Nfe2l2, Pdx1, Rara, Stat5b, Dlx5, Creb3l2, Pparg, Gli1, Atf2, Creb3, Foxa2, Sox9, Runx2, Ppara, Gtf2i, Pbx1, Creb1"
Tnn|COMPLEX:Itga8_Itgb1,Tnn,COMPLEX:Itga8_Itgb1,TENASCIN,Secreted,"Nr4a1, Pax8, Nrf1, Thra, Nfatc4, Sp7, Creb5, Esr2, Creb3l1, Atf6b, Stat3, Etv1, Pou5f1, Srf, Gli3, Dnmt1, Tfap2a, Nr5a1, Creb3l4, Jun, Hsf1, Gata1, Sp1, Mlxipl, Rxra, Stat2, Ar, Esr1, Stat1, Rela, Fos, Stat5a, Etv5, Atf1, Ybx1, Trp53, Nfkb1, Nkx3-1, Atf4, Nr1h4, Twist1, Gli2, Nfe2l2, Pdx1, Rara, Stat5b, Dlx5, Creb3l2, Pparg, Gli1, Atf2, Creb3, Foxa2, Sox9, Runx2, Ppara, Gtf2i, Pbx1, Creb1"
Tnxb|COMPLEX:Itga8_Itgb1,Tnxb,COMPLEX:Itga8_Itgb1,TENASCIN,Secreted,"Nr4a1, Pax8, Nrf1, Thra, Nfatc4, Sp7, Creb5, Esr2, Creb3l1, Atf6b, Stat3, Etv1, Pou5f1, Srf, Gli3, Dnmt1, Tfap2a, Nr5a1, Creb3l4, Jun, Hsf1, Gata1, Sp1, Mlxipl, Rxra, Stat2, Ar, Esr1, Stat1, Rela, Fos, Stat5a, Etv5, Atf1, Ybx1, Trp53, Nfkb1, Nkx3-1, Atf4, Nr1h4, Twist1, Gli2, Nfe2l2, Pdx1, Rara, Stat5b, Dlx5, Creb3l2, Pparg, Gli1, Atf2, Creb3, Foxa2, Sox9, Runx2, Ppara, Gtf2i, Pbx1, Creb1"
Tnc|COMPLEX:Itga9_Itgb1,Tnc,COMPLEX:Itga9_Itgb1,TENASCIN,Secreted,"Nr4a1, Pax8, Nrf1, Thra, Nfatc4, Sp7, Creb5, Esr2, Creb3l1, Atf6b, Stat3, Etv1, Pou5f1, Srf, Gli3, Dnmt1, Tfap2a, Nr5a1, Creb3l4, Jun, Hsf1, Gata1, Sp1, Mlxipl, Rxra, Stat2, Ar, Esr1, Stat1, Rela, Fos, Stat5a, Etv5, Atf1, Ybx1, Trp53, Nfkb1, Nkx3-1, Atf4, Nr1h4, Twist1, Gli2, Nfe2l2, Pdx1, Rara, Stat5b, Dlx5, Creb3l2, Pparg, Gli1, Atf2, Creb3, Foxa2, Sox9, Runx2, Ppara, Gtf2i, Pbx1, Creb1"
Tnr|COMPLEX:Itga9_Itgb1,Tnr,COMPLEX:Itga9_Itgb1,TENASCIN,Secreted,"Nr4a1, Pax8, Nrf1, Thra, Nfatc4, Sp7, Creb5, Esr2, Creb3l1, Atf6b, Stat3, Etv1, Pou5f1, Srf, Gli3, Dnmt1, Tfap2a, Nr5a1, Creb3l4, Jun, Hsf1, Gata1, Sp1, Mlxipl, Rxra, Stat2, Ar, Esr1, Stat1, Rela, Fos, Stat5a, Etv5, Atf1, Ybx1, Trp53, Nfkb1, Nkx3-1, Atf4, Nr1h4, Twist1, Gli2, Nfe2l2, Pdx1, Rara, Stat5b, Dlx5, Creb3l2, Pparg, Gli1, Atf2, Creb3, Foxa2, Sox9, Runx2, Ppara, Gtf2i, Pbx1, Creb1"
Tnn|COMPLEX:Itga9_Itgb1,Tnn,COMPLEX:Itga9_Itgb1,TENASCIN,Secreted,"Nr4a1, Pax8, Nrf1, Thra, Nfatc4, Sp7, Creb5, Esr2, Creb3l1, Atf6b, Stat3, Etv1, Pou5f1, Srf, Gli3, Dnmt1, Tfap2a, Nr5a1, Creb3l4, Jun, Hsf1, Gata1, Sp1, Mlxipl, Rxra, Stat2, Ar, Esr1, Stat1, Rela, Fos, Stat5a, Etv5, Atf1, Ybx1, Trp53, Nfkb1, Nkx3-1, Atf4, Nr1h4, Twist1, Gli2, Nfe2l2, Pdx1, Rara, Stat5b, Dlx5, Creb3l2, Pparg, Gli1, Atf2, Creb3, Foxa2, Sox9, Runx2, Ppara, Gtf2i, Pbx1, Creb1"
Tnxb|COMPLEX:Itga9_Itgb1,Tnxb,COMPLEX:Itga9_Itgb1,TENASCIN,Secreted,"Nr4a1, Pax8, Nrf1, Thra, Nfatc4, Sp7, Creb5, Esr2, Creb3l1, Atf6b, Stat3, Etv1, Pou5f1, Srf, Gli3, Dnmt1, Tfap2a, Nr5a1, Creb3l4, Jun, Hsf1, Gata1, Sp1, Mlxipl, Rxra, Stat2, Ar, Esr1, Stat1, Rela, Fos, Stat5a, Etv5, Atf1, Ybx1, Trp53, Nfkb1, Nkx3-1, Atf4, Nr1h4, Twist1, Gli2, Nfe2l2, Pdx1, Rara, Stat5b, Dlx5, Creb3l2, Pparg, Gli1, Atf2, Creb3, Foxa2, Sox9, Runx2, Ppara, Gtf2i, Pbx1, Creb1"
Tnc|COMPLEX:Itgav_Itgb3,Tnc,COMPLEX:Itgav_Itgb3,TENASCIN,Secreted,"Nfkb1, Runx3, Rxra, Ar, Esr1, Stat1, Fos, Stat3, Rela, Gtf2i, Stat5a, Hif1a, Stat5b, Pparg"
Tnr|COMPLEX:Itgav_Itgb3,Tnr,COMPLEX:Itgav_Itgb3,TENASCIN,Secreted,"Nfkb1, Runx3, Rxra, Ar, Esr1, Stat1, Fos, Stat3, Rela, Gtf2i, Stat5a, Hif1a, Stat5b, Pparg"
Tnn|COMPLEX:Itgav_Itgb3,Tnn,COMPLEX:Itgav_Itgb3,TENASCIN,Secreted,"Nfkb1, Runx3, Rxra, Ar, Esr1, Stat1, Fos, Stat3, Rela, Gtf2i, Stat5a, Hif1a, Stat5b, Pparg"
Tnxb|COMPLEX:Itgav_Itgb3,Tnxb,COMPLEX:Itgav_Itgb3,TENASCIN,Secreted,"Nfkb1, Runx3, Rxra, Ar, Esr1, Stat1, Fos, Stat3, Rela, Gtf2i, Stat5a, Hif1a, Stat5b, Pparg"
Tnc|COMPLEX:Itga2b_Itgb3,Tnc,COMPLEX:Itga2b_Itgb3,TENASCIN,Secreted,"Nfkb1, Rxra, Ar, Esr1, Stat1, Fos, Stat3, Rela, Gtf2i, Stat5a, Stat5b, Pparg"
Tnr|COMPLEX:Itga2b_Itgb3,Tnr,COMPLEX:Itga2b_Itgb3,TENASCIN,Secreted,"Nfkb1, Rxra, Ar, Esr1, Stat1, Fos, Stat3, Rela, Gtf2i, Stat5a, Stat5b, Pparg"
Tnn|COMPLEX:Itga2b_Itgb3,Tnn,COMPLEX:Itga2b_Itgb3,TENASCIN,Secreted,"Nfkb1, Rxra, Ar, Esr1, Stat1, Fos, Stat3, Rela, Gtf2i, Stat5a, Stat5b, Pparg"
Tnxb|COMPLEX:Itga2b_Itgb3,Tnxb,COMPLEX:Itga2b_Itgb3,TENASCIN,Secreted,"Nfkb1, Rxra, Ar, Esr1, Stat1, Fos, Stat3, Rela, Gtf2i, Stat5a, Stat5b, Pparg"
Tnc|COMPLEX:Itgav_Itgb6,Tnc,COMPLEX:Itgav_Itgb6,TENASCIN,Secreted,"Smad3, Nfkb1, Sp1, Runx3, Rxra, Ar, Esr1, Stat1, Fos, Stat3, Rela, Gtf2i, Stat5a, Hif1a, Stat5b, Pparg, Jun"
Tnr|COMPLEX:Itgav_Itgb6,Tnr,COMPLEX:Itgav_Itgb6,TENASCIN,Secreted,"Smad3, Nfkb1, Sp1, Runx3, Rxra, Ar, Esr1, Stat1, Fos, Stat3, Rela, Gtf2i, Stat5a, Hif1a, Stat5b, Pparg, Jun"
Tnn|COMPLEX:Itgav_Itgb6,Tnn,COMPLEX:Itgav_Itgb6,TENASCIN,Secreted,"Smad3, Nfkb1, Sp1, Runx3, Rxra, Ar, Esr1, Stat1, Fos, Stat3, Rela, Gtf2i, Stat5a, Hif1a, Stat5b, Pparg, Jun"
Tnxb|COMPLEX:Itgav_Itgb6,Tnxb,COMPLEX:Itgav_Itgb6,TENASCIN,Secreted,"Smad3, Nfkb1, Sp1, Runx3, Rxra, Ar, Esr1, Stat1, Fos, Stat3, Rela, Gtf2i, Stat5a, Hif1a, Stat5b, Pparg, Jun"
Tnc|Sdc1,Tnc,Sdc1,TENASCIN,Secreted,"Nr4a1, Creb5, Esr2, Cebpb, Creb3l1, Atf6b, Ets2, Erf, Creb3l4, Elk1, Jun, Hsf1, Sp1, Ar, Esr1, Stat1, Rela, Fos, Hif1a, Ets1, Trp53, Nfkb1, Mitf, Nfatc3, Atf4, Creb3l2, Egr1, Smad3, Myc, Nfatc1, Atf2, Creb3, Runx2, Nfatc2, Creb1, Thrb"
Tnr|Sdc1,Tnr,Sdc1,TENASCIN,Secreted,"Nr4a1, Creb5, Esr2, Cebpb, Creb3l1, Atf6b, Ets2, Erf, Creb3l4, Elk1, Jun, Hsf1, Sp1, Ar, Esr1, Stat1, Rela, Fos, Hif1a, Ets1, Trp53, Nfkb1, Mitf, Nfatc3, Atf4, Creb3l2, Egr1, Smad3, Myc, Nfatc1, Atf2, Creb3, Runx2, Nfatc2, Creb1, Thrb"
Tnn|Sdc1,Tnn,Sdc1,TENASCIN,Secreted,"Nr4a1, Creb5, Esr2, Cebpb, Creb3l1, Atf6b, Ets2, Erf, Creb3l4, Elk1, Jun, Hsf1, Sp1, Ar, Esr1, Stat1, Rela, Fos, Hif1a, Ets1, Trp53, Nfkb1, Mitf, Nfatc3, Atf4, Creb3l2, Egr1, Smad3, Myc, Nfatc1, Atf2, Creb3, Runx2, Nfatc2, Creb1, Thrb"
Tnxb|Sdc1,Tnxb,Sdc1,TENASCIN,Secreted,"Nr4a1, Creb5, Esr2, Cebpb, Creb3l1, Atf6b, Ets2, Erf, Creb3l4, Elk1, Jun, Hsf1, Sp1, Ar, Esr1, Stat1, Rela, Fos, Hif1a, Ets1, Trp53, Nfkb1, Mitf, Nfatc3, Atf4, Creb3l2, Egr1, Smad3, Myc, Nfatc1, Atf2, Creb3, Runx2, Nfatc2, Creb1, Thrb"
Tnc|Sdc4,Tnc,Sdc4,TENASCIN,Secreted,"Pax8, Creb5, Creb3l1, Atf6b, Stat3, Creb3l4, Elk1, Jun, Ar, Esr1, Fos, Nfatc3, Atf4, Creb3l2, Smad3, Nfatc1, Atf2, Creb3, Nfatc2, Creb1"
Tnr|Sdc4,Tnr,Sdc4,TENASCIN,Secreted,"Pax8, Creb5, Creb3l1, Atf6b, Stat3, Creb3l4, Elk1, Jun, Ar, Esr1, Fos, Nfatc3, Atf4, Creb3l2, Smad3, Nfatc1, Atf2, Creb3, Nfatc2, Creb1"
Tnn|Sdc4,Tnn,Sdc4,TENASCIN,Secreted,"Pax8, Creb5, Creb3l1, Atf6b, Stat3, Creb3l4, Elk1, Jun, Ar, Esr1, Fos, Nfatc3, Atf4, Creb3l2, Smad3, Nfatc1, Atf2, Creb3, Nfatc2, Creb1"
Tnxb|Sdc4,Tnxb,Sdc4,TENASCIN,Secreted,"Pax8, Creb5, Creb3l1, Atf6b, Stat3, Creb3l4, Elk1, Jun, Ar, Esr1, Fos, Nfatc3, Atf4, Creb3l2, Smad3, Nfatc1, Atf2, Creb3, Nfatc2, Creb1"
Trf|Tfrc,Trf,Tfrc,TF,unSecreted,
Trf|Tfr2,Trf,Tfr2,TF,unSecreted,
Tg|Asgr1,Tg,Asgr1,TG,Secreted,
Tg|Lrp2,Tg,Lrp2,TG,Secreted,Gata3
Tgfb1|Egfr,Tgfb1,Egfr,TGFb,Secreted,"Nr4a1, Foxo3, Brca1, Tcf7l2, Trp73, Thra, Irf1, Atf6b, Stat3, Erf, Dnmt1, Foxo1, Hsf1, Runx3, Ep300, Traf6, Abl1, Hif1a, Trp53, Rara, Creb3l2, Pparg, Smad3, Nfkbib, Atf2, Stat4, Hic1, Creb1, Mdm2, Irf3, Med1, Elk1, Crebbp, Rxra, Ar, Stat1, Dbp, Mitf, Nfkb2, Stat5b, Tcf7, Rbl2, Rora, Ikbkb, Lef1, Foxo6, Nfatc2, Arnt, Creb5, Prdm1, Cebpb, Tcf7l1, Ets2, Spi1, Ncoa3, Sp1, Xbp1, Junb, Tfcp2, Atf4, Irf9, Ctnnb1, Egr1, Stat6, Nfatc1, Nfkbia, Runx2, Gata3, Pgr, Esr2, Creb3l1, Creb3l4, Srf, Jun, Foxo4, Stat2, Esr1, Rela, Fos, Stat5a, Creb3l3, Ets1, Klf4, Nfkb1, Usf1, Nfatc3, Myc, E2f1, Creb3, Myb, Thrb"
Tgfb1|Itgb3,Tgfb1,Itgb3,TGFb,Secreted,"Nfkb1, Rxra, Ar, Esr1, Stat1, Fos, Stat3, Rela, Gtf2i, Stat5a, Stat5b, Pparg"
Tgfb1|Itgb1,Tgfb1,Itgb1,TGFb,Secreted,"Nr4a1, Pax8, Nrf1, Thra, Nfatc4, Sp7, Creb5, Esr2, Creb3l1, Atf6b, Stat3, Etv1, Pou5f1, Srf, Gli3, Dnmt1, Tfap2a, Nr5a1, Creb3l4, Jun, Hsf1, Gata1, Sp1, Mlxipl, Rxra, Stat2, Ar, Esr1, Stat1, Rela, Fos, Stat5a, Etv5, Atf1, Ybx1, Trp53, Nfkb1, Nkx3-1, Atf4, Nr1h4, Twist1, Gli2, Nfe2l2, Pdx1, Rara, Stat5b, Dlx5, Creb3l2, Pparg, Gli1, Atf2, Creb3, Foxa2, Sox9, Runx2, Ppara, Gtf2i, Pbx1, Creb1"
Tgfb1|Itgav,Tgfb1,Itgav,TGFb,Secreted,"Nfkb1, Runx3, Ar, Esr1, Rela, Fos, Hif1a"
Tgfb1|Eng,Tgfb1,Eng,TGFb,Secreted,
Tgfb1|Itgb6,Tgfb1,Itgb6,TGFb,Secreted,"Smad3, Sp1, Rxra, Ar, Esr1, Stat1, Fos, Stat3, Gtf2i, Stat5a, Stat5b, Pparg, Jun"
Tgfb1|Itgb8,Tgfb1,Itgb8,TGFb,Secreted,"Smad3, Sp1, Rxra, Ar, Esr1, Stat1, Fos, Stat3, Gtf2i, Stat5a, Stat5b, Pparg, Jun"
Tgfb1|Sdc2,Tgfb1,Sdc2,TGFb,Secreted,"Nfatc1, Ar, Esr1, Nfatc3, Nfatc2, Creb1"
Tgfb1|Acvrl1,Tgfb1,Acvrl1,TGFb,Secreted,
Tgfb1|Cxcr4,Tgfb1,Cxcr4,TGFb,Secreted,"Stat6, Nfkb1, Foxo3, Nfkbib, Nfkbia, Stat2, Rela, Stat1, Stat3, Dbp, Ikbkb, Stat4, Stat5a, Stat5b"
Tgfb1|Tgfbr3,Tgfb1,Tgfbr3,TGFb,Secreted,
Tgfb1|Vasn,Tgfb1,Vasn,TGFb,Secreted,
Tgfb2|Eng,Tgfb2,Eng,TGFb,Secreted,
Tgfb2|Tgfbr3,Tgfb2,Tgfbr3,TGFb,Secreted,
Tgfbr1|Eng,Tgfbr1,Eng,TGFb,unSecreted,
Tgfbr2|Eng,Tgfbr2,Eng,TGFb,unSecreted,
Tgfbr2|Tgfbr1,Tgfbr2,Tgfbr1,TGFb,unSecreted,"Rorc, Tcf7l2, Tcf7l1, Ddit3, Stat3, Elk1, E2f5, Smad2, E2f2, Daxx, Elk4, Mybl2, E2f4, Terf1, Foxm1, Nanog, Mef2c, Junb, Trp53, Rbl1, Atf4, E2f3, Tcf7, Irf5, Smad3, Rb1, Rbl2, Rora, Terf2, E2f1, Atf2, Tfdp1, Smad1, Foxp3, Smad4, Runx2, Max, Lef1"
Tgfbr2|Tgfbr3,Tgfbr2,Tgfbr3,TGFb,unSecreted,
Tgfb3|Itgb3,Tgfb3,Itgb3,TGFb,Secreted,"Nfkb1, Rxra, Ar, Esr1, Stat1, Fos, Stat3, Rela, Gtf2i, Stat5a, Stat5b, Pparg"
Tgfb3|Eng,Tgfb3,Eng,TGFb,Secreted,
Tgfb3|Itgb6,Tgfb3,Itgb6,TGFb,Secreted,"Smad3, Sp1, Rxra, Ar, Esr1, Stat1, Fos, Stat3, Gtf2i, Stat5a, Stat5b, Pparg, Jun"
Tgfb3|Tgfbr1,Tgfb3,Tgfbr1,TGFb,Secreted,"Rorc, Tcf7l2, Tcf7l1, Ddit3, Stat3, Elk1, E2f5, Smad2, E2f2, Daxx, Elk4, Mybl2, E2f4, Terf1, Foxm1, Nanog, Mef2c, Junb, Trp53, Rbl1, Atf4, E2f3, Tcf7, Irf5, Smad3, Rb1, Rbl2, Rora, Terf2, E2f1, Atf2, Tfdp1, Smad1, Foxp3, Smad4, Runx2, Max, Lef1"
Tgfb3|Acvrl1,Tgfb3,Acvrl1,TGFb,Secreted,
Tgfb3|Tgfbr3,Tgfb3,Tgfbr3,TGFb,Secreted,
Tgfb1|COMPLEX:Acvr1b,Tgfb1,COMPLEX:Acvr1b,TGFb,Secreted,"Tcf7l2, E2f5, Foxo1, Smad2, Jun, Mef2a, Sp1, E2f4, Esr1, Nanog, Mef2c, Junb, Smad3, Tfdp1, Smad1, Smad4, Lef1, Max, Gata3, Creb1"
Tgfb1|COMPLEX:Acvr1c,Tgfb1,COMPLEX:Acvr1c,TGFb,Secreted,"Tcf7l2, E2f5, Foxo1, Smad2, Jun, Mef2a, Sp1, E2f4, Esr1, Nanog, Mef2c, Junb, Smad3, Tfdp1, Smad1, Smad4, Lef1, Max, Gata3, Creb1"
Tgfb2|COMPLEX:Acvr1b,Tgfb2,COMPLEX:Acvr1b,TGFb,Secreted,"Tcf7l2, E2f5, Foxo1, Smad2, Jun, Mef2a, Sp1, E2f4, Esr1, Nanog, Mef2c, Junb, Smad3, Tfdp1, Smad1, Smad4, Lef1, Max, Gata3, Creb1"
Tgfb2|COMPLEX:Acvr1c,Tgfb2,COMPLEX:Acvr1c,TGFb,Secreted,"Tcf7l2, E2f5, Foxo1, Smad2, Jun, Mef2a, Sp1, E2f4, Esr1, Nanog, Mef2c, Junb, Smad3, Tfdp1, Smad1, Smad4, Lef1, Max, Gata3, Creb1"
Tgfb3|COMPLEX:Acvr1b,Tgfb3,COMPLEX:Acvr1b,TGFb,Secreted,"Tcf7l2, E2f5, Foxo1, Smad2, Jun, Mef2a, Sp1, E2f4, Esr1, Nanog, Mef2c, Junb, Smad3, Tfdp1, Smad1, Smad4, Lef1, Max, Gata3, Creb1"
Tgfb3|COMPLEX:Acvr1c,Tgfb3,COMPLEX:Acvr1c,TGFb,Secreted,"Tcf7l2, E2f5, Foxo1, Smad2, Jun, Mef2a, Sp1, E2f4, Esr1, Nanog, Mef2c, Junb, Smad3, Tfdp1, Smad1, Smad4, Lef1, Max, Gata3, Creb1"
Tgfb1|COMPLEX:Acvr1,Tgfb1,COMPLEX:Acvr1,TGFb,Secreted,"Smad3, Junb, Nfkb1, E2f4, Tfdp1, Rela, Smad1, Smad9, Smad4, Nanog, E2f5, Smad5"
Tgfb2|COMPLEX:Acvr1,Tgfb2,COMPLEX:Acvr1,TGFb,Secreted,"Smad3, Junb, Nfkb1, E2f4, Tfdp1, Rela, Smad1, Smad9, Smad4, Nanog, E2f5, Smad5"
Tgfb3|COMPLEX:Acvr1,Tgfb3,COMPLEX:Acvr1,TGFb,Secreted,"Smad3, Junb, Nfkb1, E2f4, Tfdp1, Rela, Smad1, Smad9, Smad4, Nanog, E2f5, Smad5"
Tgfbi|COMPLEX:Itga3_Itgb1,Tgfbi,COMPLEX:Itga3_Itgb1,TGFBI,Secreted,"Nr4a1, Pax8, Nrf1, Thra, Nfatc4, Sp7, Creb5, Esr2, Creb3l1, Atf6b, Stat3, Etv1, Pou5f1, Srf, Gli3, Dnmt1, Tfap2a, Nr5a1, Creb3l4, Jun, Hsf1, Gata1, Sp1, Mlxipl, Rxra, Stat2, Ar, Esr1, Stat1, Rela, Fos, Stat5a, Etv5, Atf1, Ybx1, Trp53, Nfkb1, Nkx3-1, Atf4, Nr1h4, Twist1, Gli2, Nfe2l2, Pdx1, Rara, Stat5b, Dlx5, Creb3l2, Pparg, Gli1, Atf2, Creb3, Foxa2, Sox9, Runx2, Ppara, Gtf2i, Pbx1, Creb1"
Comp|Itgb3,Comp,Itgb3,THBS,Secreted,"Nfkb1, Rxra, Ar, Esr1, Stat1, Fos, Stat3, Rela, Gtf2i, Stat5a, Stat5b, Pparg"
Thbs1|Tnfrsf11b,Thbs1,Tnfrsf11b,THBS,Secreted,
Thbs1|Lrp5,Thbs1,Lrp5,THBS,Secreted,"Myc, Smad3, Hsf1, Mlxipl, Tcf7l2, Arntl, Fosl1, Tcf7l1, Gli3, Clock, Lef1, Gli2, Foxm1, Ctnnb1, Ppard, Tbp, Tcf7, Jun"
Thbs1|Itgb3,Thbs1,Itgb3,THBS,Secreted,"Nfkb1, Rxra, Ar, Esr1, Stat1, Fos, Stat3, Rela, Gtf2i, Stat5a, Stat5b, Pparg"
Thbs1|Itga2b,Thbs1,Itga2b,THBS,Secreted,Fos
Thbs1|Itga4,Thbs1,Itga4,THBS,Secreted,"Stat3, Fos, Sp1, Jun"
Thbs1|Itga6,Thbs1,Itga6,THBS,Secreted,"Stat3, Fos, Sp1, Jun"
Thbs1|Itga3,Thbs1,Itga3,THBS,Secreted,"Stat3, Fos, Sp1, Jun"
